category,subcategory,sub_subcategory
Sports Equipment,Sports & Games,Golf
Sports Equipment,Sports & Games,Kites
Sports Equipment,Sports & Games,Racket and Ball Sports
Sports Equipment,Sports & Games,"Skates, Rollerblades & Scooters"
Sports Equipment,Sports & Games,Water Sports
TV & Home Appliances,Air Conditioning and Heating,
TV & Home Appliances,Air Purifiers & Dehumidifiers,
TV & Home Appliances,"Electrical, Adaptors & Sockets",
TV & Home Appliances,Irons & Steamers,
TV & Home Appliances,Kitchen Appliances,"BBQ, Grills & Hotpots"
TV & Home Appliances,Kitchen Appliances,Breadmakers
TV & Home Appliances,Kitchen Appliances,Coffee Machines & Makers
TV & Home Appliances,Kitchen Appliances,Cookers
TV & Home Appliances,Kitchen Appliances,Dishwasher
TV & Home Appliances,Kitchen Appliances,Fryers
TV & Home Appliances,Kitchen Appliances,Hand & Stand Mixers
TV & Home Appliances,Kitchen Appliances,Hobs & Hoods
TV & Home Appliances,Kitchen Appliances,Ice-cream Makers
TV & Home Appliances,Kitchen Appliances,"Juicers, Blenders & Grinders"
TV & Home Appliances,Kitchen Appliances,Kettles & Airpots
TV & Home Appliances,Kitchen Appliances,Other Kitchen Appliances
TV & Home Appliances,Kitchen Appliances,Ovens & Toasters
TV & Home Appliances,Kitchen Appliances,Refrigerators and Freezers
TV & Home Appliances,Kitchen Appliances,Water Purifiers & Dispensers
TV & Home Appliances,Kitchen Appliances,Wine Cellar & Storage
TV & Home Appliances,Other Home Appliances,
TV & Home Appliances,TV & Entertainment,Blu-Ray & Media Players
TV & Home Appliances,TV & Entertainment,Entertainment Systems & Smart Home Devices
TV & Home Appliances,TV & Entertainment,Media Streamers & Hubs
TV & Home Appliances,TV & Entertainment,Projectors
TV & Home Appliances,TV & Entertainment,TV
TV & Home Appliances,TV & Entertainment,TV Parts & Accessories
TV & Home Appliances,Vacuum Cleaner & Housekeeping,
TV & Home Appliances,Washing Machines and Dryers,
TV & Home Appliances,Water Heater & Instant Showers,
Tickets & Vouchers,Event Tickets,
Tickets & Vouchers,Flights & Overseas Attractions,
Tickets & Vouchers,Local Attractions & Transport,
Tickets & Vouchers,Store Credits,
Tickets & Vouchers,Vouchers,
Travel,Car Rentals,
Tuition Services,,
Vehicle Rentals,,
Video Gaming,Gaming Accessories,Cables & Chargers
Video Gaming,Gaming Accessories,Cases & Covers
Video Gaming,Gaming Accessories,Controllers
Video Gaming,Gaming Accessories,Game Gift Cards & Accounts
Video Gaming,Gaming Accessories,In-Game Products
Video Gaming,Gaming Accessories,Interactive Gaming Figures
Video Gaming,Gaming Accessories,Virtual Reality
Video Gaming,Video Game Consoles,Nintendo
Video Gaming,Video Game Consoles,Others
Video Gaming,Video Game Consoles,PlayStation
Video Gaming,Video Game Consoles,Xbox
Video Gaming,Video Games,Nintendo
Video Gaming,Video Games,Others
Video Gaming,Video Games,PlayStation
Video Gaming,Video Games,Xbox
Women's Fashion,Activewear,
Women's Fashion,Bags & Wallets,Backpacks
Women's Fashion,Bags & Wallets,Beach Bags
Women's Fashion,Bags & Wallets,Clutches
Women's Fashion,Bags & Wallets,Cross-body Bags
Women's Fashion,Bags & Wallets,Purses & Pouches
Women's Fashion,Bags & Wallets,Shoulder Bags
Women's Fashion,Bags & Wallets,Tote Bags
Women's Fashion,Bags & Wallets,Wallets & Card holders
Women's Fashion,Bottoms,Jeans
Women's Fashion,Bottoms,Other Bottoms
Women's Fashion,Bottoms,Shorts
Women's Fashion,Bottoms,Skirts
Women's Fashion,"Coats, Jackets and Outerwear",
Women's Fashion,Dresses & Sets,Dresses
Women's Fashion,Dresses & Sets,Evening dresses & gowns
Women's Fashion,Dresses & Sets,Jumpsuits
Women's Fashion,Dresses & Sets,Rompers
Women's Fashion,Dresses & Sets,Sets or Coordinates
Women's Fashion,Dresses & Sets,Traditional & Ethnic wear
Women's Fashion,Footwear,Boots
Women's Fashion,Footwear,Flats & Sandals
Women's Fashion,Footwear,Heels
Women's Fashion,Footwear,Loafers
Women's Fashion,Footwear,Sandals
Women's Fashion,Footwear,Shoe inserts
Women's Fashion,Footwear,Slippers and slides
Women's Fashion,Footwear,Sneakers
Women's Fashion,Footwear,Wedges
Women's Fashion,Jewelry & Organizers,"Accessory Holder, Box & Organizers"
Women's Fashion,Jewelry & Organizers,Anklets
Women's Fashion,Jewelry & Organizers,Body Jewelry
Women's Fashion,Jewelry & Organizers,Bracelets
Women's Fashion,Jewelry & Organizers,Brooches
Women's Fashion,Jewelry & Organizers,Charms
Women's Fashion,Jewelry & Organizers,Earrings
Women's Fashion,Jewelry & Organizers,Necklaces
Women's Fashion,Jewelry & Organizers,Precious Stones
Women's Fashion,Jewelry & Organizers,Rings
Women's Fashion,Maternity wear,
Women's Fashion,Swimwear,Bikinis & Swimsuits
Women's Fashion,Swimwear,Rash guard
Women's Fashion,Tops,Blouses
Women's Fashion,Tops,Longsleeves
Women's Fashion,Tops,Others Tops
Women's Fashion,Tops,Shirts
Women's Fashion,Tops,Sleeveless
Women's Fashion,Undergarments & Loungewear,
Women's Fashion,Watches & Accessories,Belts
Women's Fashion,Watches & Accessories,Gloves
Women's Fashion,Watches & Accessories,Hair Accessories
Women's Fashion,Watches & Accessories,Hats & Beanies
Women's Fashion,Watches & Accessories,Other Accessories
Women's Fashion,Watches & Accessories,Scarves
Women's Fashion,Watches & Accessories,Socks & Tights
Women's Fashion,Watches & Accessories,Sunglasses & Eyewear
Women's Fashion,Watches & Accessories,Watches
